EmployeeNumber,Age,Gender,MaritalStatus,Education,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,SalarySlab,AgeBand,TenureBand,Attrition
361,43,Male,Married,1,Research & Development,Healthcare Representative,1,Travel_Frequently,No,18119,16.9,1,23,1,1,1,1,3,4,4,1,2,4,<=35K,36-45,0-3 yrs,Yes
362,24,Male,Divorced,4,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,15599,14.2,1,2,2,0,2,0,3,4,3,2,3,4,<=35K,18-25,0-3 yrs,Yes
363,47,Male,Single,4,Research & Development,Research Director,4,Travel_Rarely,Yes,50027,18.6,0,27,0,0,0,0,3,3,3,2,3,4,35K-60K,46+,0-3 yrs,No
364,39,Male,Married,3,Research & Development,Manager,2,Travel_Rarely,No,16951,11.0,1,19,1,1,0,1,3,4,4,1,3,3,<=35K,36-45,0-3 yrs,No
365,33,Male,Married,3,Human Resources,Human Resources Representative,3,Travel_Rarely,No,39070,24.0,0,11,9,9,1,0,3,1,2,3,3,6,35K-60K,26-35,8+ yrs,No
366,38,Female,Single,4,Research & Development,Manager,2,Travel_Rarely,No,36461,18.4,2,17,13,2,1,4,4,1,1,3,3,2,35K-60K,36-45,8+ yrs,No
367,20,Male,Divorced,1,Human Resources,Manager,4,Travel_Rarely,No,72642,11.0,1,0,0,0,0,0,3,1,2,2,3,2,>60K,18-25,0-3 yrs,No
368,40,Male,Married,4,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,52332,12.6,1,18,0,0,0,0,3,4,1,3,3,0,35K-60K,36-45,0-3 yrs,No
369,27,Female,Single,2,Sales,Sales Representative,3,Travel_Rarely,No,53459,18.2,2,9,4,0,2,1,4,1,4,4,3,6,35K-60K,26-35,4-7 yrs,Yes
370,24,Male,Married,3,Sales,Manager,2,Travel_Rarely,No,29353,19.6,1,4,4,1,3,4,4,1,3,4,3,2,<=35K,18-25,4-7 yrs,Yes
371,23,Female,Single,4,Sales,Sales Executive,5,Travel_Rarely,No,61063,11.0,1,3,1,0,1,1,3,1,3,1,3,4,>60K,18-25,0-3 yrs,No
372,47,Female,Married,3,Sales,Sales Representative,3,Travel_Frequently,No,41358,17.8,1,26,26,2,0,1,3,2,4,1,2,0,35K-60K,46+,8+ yrs,No
373,31,Male,Single,3,Sales,Sales Representative,4,Travel_Rarely,No,57929,11.0,0,9,2,2,0,0,3,3,4,3,3,2,35K-60K,26-35,0-3 yrs,No
374,50,Female,Divorced,3,Research & Development,Manager,1,Travel_Rarely,No,11023,14.9,1,32,1,1,1,0,3,1,3,2,1,3,<=35K,46+,0-3 yrs,Yes
375,32,Male,Divorced,3,Sales,Sales Representative,2,Travel_Rarely,No,30437,19.3,0,10,0,0,0,0,3,3,4,1,3,3,<=35K,26-35,0-3 yrs,No
376,21,Female,Married,2,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,33531,13.2,0,0,0,0,0,0,3,2,1,2,3,2,<=35K,18-25,0-3 yrs,No
377,26,Male,Married,5,Research & Development,Manager,2,Travel_Rarely,Yes,36824,11.0,1,5,5,0,0,5,4,2,4,1,2,3,35K-60K,26-35,4-7 yrs,No
378,48,Female,Divorced,4,Sales,Sales Executive,4,Travel_Rarely,No,57775,15.7,0,28,1,0,1,1,4,4,2,3,3,1,35K-60K,46+,0-3 yrs,No
379,35,Female,Married,3,Research & Development,Manager,1,Travel_Rarely,Yes,10000,13.0,0,16,8,4,0,4,4,4,3,3,3,3,<=35K,26-35,8+ yrs,No
380,31,Male,Single,3,Sales,Sales Executive,1,Travel_Frequently,No,11136,17.5,1,13,0,0,0,0,3,3,2,1,3,1,<=35K,26-35,0-3 yrs,Yes
381,38,Male,Married,1,Sales,Sales Representative,2,Travel_Rarely,No,30349,11.9,0,20,3,0,3,1,3,2,4,3,3,3,<=35K,36-45,0-3 yrs,No
382,41,Female,Divorced,1,Research & Development,Laboratory Technician,1,Non-Travel,Yes,24782,12.3,0,22,7,1,0,4,3,4,1,3,3,1,<=35K,36-45,4-7 yrs,No
383,47,Female,Married,3,Research & Development,Manager,1,Travel_Rarely,No,10457,11.0,1,26,0,0,0,0,3,3,3,3,3,3,<=35K,46+,0-3 yrs,No
384,50,Male,Married,4,Research & Development,Manager,3,Travel_Rarely,No,49100,15.8,1,28,5,0,3,3,3,4,3,4,4,1,35K-60K,46+,4-7 yrs,No
385,33,Female,Divorced,3,Research & Development,Manager,2,Travel_Frequently,No,32320,14.6,1,15,9,0,9,0,3,3,3,4,3,2,<=35K,26-35,8+ yrs,No
386,24,Male,Divorced,4,Research & Development,Laboratory Technician,1,Travel_Rarely,No,15351,11.0,1,5,5,5,5,2,4,2,4,3,3,2,<=35K,18-25,4-7 yrs,No
387,33,Male,Divorced,1,Sales,Sales Executive,2,Travel_Frequently,No,37444,15.9,1,13,4,0,0,1,4,3,4,4,3,4,35K-60K,26-35,4-7 yrs,No
388,39,Male,Single,3,Sales,Sales Executive,2,Travel_Rarely,No,24713,19.0,1,19,10,5,0,0,3,3,4,1,3,3,<=35K,36-45,8+ yrs,No
389,28,Male,Married,2,Research & Development,Research Director,1,Travel_Rarely,No,10398,14.4,1,7,7,0,2,3,3,3,2,3,3,5,<=35K,26-35,4-7 yrs,No
390,28,Female,Married,3,Research & Development,Research Scientist,3,Travel_Rarely,No,44904,16.2,1,10,1,1,1,0,3,2,2,3,3,5,35K-60K,26-35,0-3 yrs,No
391,40,Male,Married,1,Human Resources,Human Resources Representative,3,Travel_Rarely,No,39878,16.2,2,18,7,2,7,7,4,4,3,3,2,3,35K-60K,36-45,4-7 yrs,No
392,36,Female,Married,4,Research & Development,Research Scientist,3,Travel_Frequently,No,49064,11.0,0,18,0,0,0,0,3,2,4,2,4,4,35K-60K,36-45,0-3 yrs,No
393,37,Male,Single,2,Research & Development,Research Director,3,Travel_Rarely,Yes,39294,22.8,0,17,0,0,0,0,4,3,3,1,3,3,35K-60K,36-45,0-3 yrs,No
394,29,Male,Divorced,4,Research & Development,Healthcare Representative,1,Travel_Rarely,No,16810,13.5,0,11,1,1,0,1,3,3,2,3,2,3,<=35K,26-35,0-3 yrs,Yes
395,34,Male,Married,3,Research & Development,Manager,5,Travel_Rarely,No,74198,17.6,1,14,14,7,5,1,4,3,3,3,3,3,>60K,26-35,8+ yrs,No
396,28,Male,Single,5,Human Resources,Manager,3,Travel_Rarely,No,46719,18.0,0,9,4,2,3,4,3,2,3,4,3,2,35K-60K,26-35,4-7 yrs,No
397,45,Male,Married,3,Research & Development,Manager,4,Travel_Rarely,No,56322,14.7,1,26,1,1,1,1,4,3,2,2,3,2,35K-60K,36-45,0-3 yrs,No
398,46,Male,Single,4,Research & Development,Laboratory Technician,1,Non-Travel,Yes,12287,17.4,1,26,0,0,0,0,3,2,4,4,4,3,<=35K,46+,0-3 yrs,No
399,20,Male,Married,1,Research & Development,Research Director,4,Travel_Rarely,Yes,60768,16.1,1,0,0,0,0,0,3,3,2,1,2,3,>60K,18-25,0-3 yrs,No
400,28,Male,Single,4,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,46616,11.0,0,6,2,2,2,0,3,2,3,4,3,2,35K-60K,26-35,0-3 yrs,No
401,23,Male,Married,4,Sales,Sales Representative,3,Travel_Rarely,Yes,44966,14.0,1,5,2,0,1,1,4,4,3,4,3,1,35K-60K,18-25,0-3 yrs,No
402,30,Male,Married,2,Research & Development,Healthcare Representative,1,Non-Travel,No,28642,12.9,0,10,10,2,0,4,3,4,2,1,3,3,<=35K,26-35,8+ yrs,Yes
403,36,Female,Married,1,Research & Development,Research Scientist,3,Non-Travel,No,37074,13.5,1,15,5,5,3,1,3,4,4,2,3,5,35K-60K,36-45,4-7 yrs,No
404,23,Female,Married,3,Research & Development,Manager,5,Travel_Rarely,No,74486,11.0,1,1,1,1,1,0,3,4,2,1,2,2,>60K,18-25,0-3 yrs,No
405,28,Male,Divorced,4,Research & Development,Research Director,3,Travel_Rarely,Yes,32410,19.4,0,6,3,3,1,0,3,1,2,4,3,3,<=35K,26-35,0-3 yrs,No
406,27,Male,Single,3,Research & Development,Manager,2,Non-Travel,No,32976,21.1,2,8,8,0,1,1,3,4,4,3,2,6,<=35K,26-35,8+ yrs,No
407,38,Male,Single,3,Research & Development,Laboratory Technician,4,Travel_Frequently,No,51078,18.8,0,16,13,1,0,3,3,1,1,3,3,2,35K-60K,36-45,8+ yrs,No
408,37,Female,Divorced,2,Sales,Sales Executive,2,Travel_Rarely,No,27773,19.9,3,15,0,0,0,0,3,3,1,2,3,4,<=35K,36-45,0-3 yrs,No
409,30,Male,Single,1,Research & Development,Laboratory Technician,2,Travel_Rarely,No,27023,13.9,0,8,1,0,0,1,3,2,2,4,4,4,<=35K,26-35,0-3 yrs,No
410,38,Male,Divorced,4,Sales,Sales Executive,2,Non-Travel,Yes,32247,12.8,0,18,1,1,1,0,4,4,3,2,2,2,<=35K,36-45,0-3 yrs,No
411,31,Male,Divorced,1,Research & Development,Research Scientist,4,Non-Travel,No,55577,12.3,0,11,4,2,1,3,3,3,3,2,2,1,35K-60K,26-35,4-7 yrs,No
412,34,Male,Married,3,Human Resources,Human Resources Representative,1,Travel_Rarely,No,10237,17.6,0,15,8,0,3,6,4,3,3,2,3,2,<=35K,26-35,8+ yrs,No
413,52,Male,Divorced,4,Human Resources,Manager,2,Travel_Rarely,Yes,41486,16.0,1,34,2,0,0,2,3,4,1,3,3,2,35K-60K,46+,0-3 yrs,No
414,49,Female,Single,2,Research & Development,Research Scientist,3,Travel_Rarely,Yes,47276,14.9,1,27,8,0,0,0,3,3,2,1,4,5,35K-60K,46+,8+ yrs,No
415,25,Male,Single,3,Research & Development,Research Scientist,3,Non-Travel,Yes,40511,20.0,1,7,6,3,2,0,3,3,3,3,3,2,35K-60K,18-25,4-7 yrs,No
416,44,Female,Married,1,Research & Development,Research Scientist,2,Travel_Rarely,Yes,27993,16.7,0,24,7,1,2,1,3,1,2,1,3,5,<=35K,36-45,4-7 yrs,No
417,44,Male,Married,3,Sales,Sales Executive,4,Travel_Rarely,No,73162,12.1,0,22,17,0,1,2,3,4,3,3,2,2,>60K,36-45,8+ yrs,No
418,26,Male,Divorced,2,Research & Development,Laboratory Technician,4,Travel_Frequently,No,58118,12.7,1,8,3,2,3,2,4,4,3,3,1,5,35K-60K,26-35,0-3 yrs,No
419,44,Female,Single,4,Research & Development,Research Director,1,Travel_Rarely,Yes,10000,17.7,0,26,2,0,0,2,4,4,4,2,3,2,<=35K,36-45,0-3 yrs,Yes
420,50,Male,Married,3,Research & Development,Manager,2,Travel_Rarely,No,24520,19.1,1,29,6,6,1,6,3,2,1,2,2,3,<=35K,46+,4-7 yrs,No
421,26,Female,Married,3,Research & Development,Research Scientist,1,Travel_Rarely,No,10606,17.2,1,6,6,1,2,0,3,2,3,4,3,1,<=35K,26-35,4-7 yrs,No
422,28,Male,Married,3,Research & Development,Laboratory Technician,2,Travel_Rarely,No,25244,22.2,0,9,1,1,1,0,3,2,3,1,3,2,<=35K,26-35,0-3 yrs,No
423,46,Male,Single,2,Sales,Sales Representative,2,Travel_Rarely,Yes,19762,21.2,1,27,11,2,1,1,4,2,4,2,3,2,<=35K,46+,8+ yrs,No
424,39,Female,Married,4,Research & Development,Laboratory Technician,4,Non-Travel,Yes,51006,16.8,1,18,0,0,0,0,3,2,4,4,3,0,35K-60K,36-45,0-3 yrs,No
425,41,Male,Divorced,3,Sales,Sales Executive,4,Travel_Rarely,No,53365,12.1,1,23,0,0,0,0,3,3,4,1,3,1,35K-60K,36-45,0-3 yrs,Yes
426,39,Female,Single,3,Research & Development,Research Director,1,Travel_Rarely,Yes,19732,11.0,0,18,1,0,1,1,3,4,2,3,3,3,<=35K,36-45,0-3 yrs,No
427,40,Male,Divorced,2,Research & Development,Healthcare Representative,1,Travel_Rarely,No,11950,13.8,0,19,19,5,4,0,3,4,2,1,3,2,<=35K,36-45,8+ yrs,No
428,24,Female,Married,3,Research & Development,Laboratory Technician,2,Non-Travel,No,28342,18.0,0,4,4,0,1,4,3,1,3,1,3,3,<=35K,18-25,4-7 yrs,No
429,46,Male,Married,2,Research & Development,Healthcare Representative,2,Travel_Frequently,No,40160,22.0,0,24,0,0,0,0,4,2,2,4,2,3,35K-60K,46+,0-3 yrs,No
430,47,Male,Married,3,Sales,Sales Representative,2,Travel_Rarely,Yes,40360,16.7,0,29,29,1,1,11,4,2,4,2,3,4,35K-60K,46+,8+ yrs,No
431,34,Female,Single,2,Sales,Sales Executive,4,Travel_Rarely,No,57743,19.5,1,15,8,4,8,3,4,2,2,3,3,4,35K-60K,26-35,8+ yrs,No
432,36,Female,Married,4,Research & Development,Research Scientist,4,Travel_Rarely,No,54953,14.3,1,17,10,7,1,3,3,3,3,4,3,4,35K-60K,36-45,8+ yrs,No
433,22,Female,Divorced,2,Research & Development,Research Director,2,Travel_Frequently,No,23084,17.5,1,1,1,1,1,0,3,3,4,1,2,2,<=35K,18-25,0-3 yrs,No
434,41,Female,Married,4,Sales,Manager,4,Travel_Rarely,No,65542,18.2,0,20,0,0,0,0,3,4,2,3,2,2,>60K,36-45,0-3 yrs,No
435,42,Female,Divorced,4,Sales,Sales Executive,2,Travel_Rarely,No,28362,11.0,2,21,4,1,0,0,3,3,4,4,3,3,<=35K,36-45,4-7 yrs,No
436,36,Male,Married,2,Research & Development,Healthcare Representative,3,Travel_Rarely,No,41908,13.7,0,18,8,8,0,3,3,3,1,3,2,3,35K-60K,36-45,8+ yrs,No
437,47,Male,Single,3,Sales,Sales Executive,2,Non-Travel,No,23490,18.7,1,26,6,5,6,0,3,4,1,1,3,2,<=35K,46+,4-7 yrs,Yes
438,33,Male,Married,1,Research & Development,Research Director,1,Travel_Rarely,No,10000,16.2,3,12,5,0,1,0,3,4,1,3,3,3,<=35K,26-35,4-7 yrs,No
439,42,Male,Divorced,3,Research & Development,Research Scientist,4,Non-Travel,Yes,62560,11.0,1,20,8,2,1,0,3,3,1,1,3,1,>60K,36-45,8+ yrs,No
440,27,Male,Single,4,Sales,Manager,2,Travel_Frequently,No,19476,11.0,3,9,1,0,0,0,3,4,2,2,2,2,<=35K,26-35,0-3 yrs,No
441,36,Male,Divorced,3,Sales,Sales Executive,3,Non-Travel,No,52958,13.8,1,16,6,6,6,1,3,3,3,4,2,4,35K-60K,36-45,4-7 yrs,No
442,35,Male,Divorced,3,Human Resources,Manager,2,Travel_Rarely,No,25729,14.9,0,15,2,0,0,2,3,4,4,1,3,2,<=35K,26-35,0-3 yrs,No
443,38,Female,Married,2,Research & Development,Manager,1,Travel_Rarely,Yes,13802,11.9,0,16,0,0,0,0,3,2,1,1,3,1,<=35K,36-45,0-3 yrs,Yes
444,33,Male,Single,3,Research & Development,Research Scientist,1,Travel_Rarely,No,10000,15.7,0,14,1,1,1,1,3,1,4,3,3,2,<=35K,26-35,0-3 yrs,Yes
445,35,Male,Married,1,Research & Development,Healthcare Representative,2,Travel_Rarely,No,29901,17.1,0,15,9,8,8,0,3,4,4,4,3,2,<=35K,26-35,8+ yrs,No
446,44,Male,Single,4,Human Resources,Human Resources Representative,3,Non-Travel,Yes,42373,17.7,1,26,13,5,1,1,4,3,4,2,3,2,35K-60K,36-45,8+ yrs,No
447,32,Female,Divorced,3,Human Resources,Human Resources Representative,2,Travel_Rarely,Yes,29599,11.0,0,13,1,0,1,0,3,3,3,1,3,2,<=35K,26-35,0-3 yrs,No
448,22,Female,Married,4,Research & Development,Healthcare Representative,3,Travel_Rarely,No,56773,11.0,1,1,1,1,1,0,3,4,1,3,4,1,35K-60K,18-25,0-3 yrs,Yes
449,52,Female,Married,2,Research & Development,Healthcare Representative,3,Travel_Frequently,No,46421,14.1,0,34,0,0,0,0,3,2,4,3,4,2,35K-60K,46+,0-3 yrs,No
450,49,Male,Married,3,Sales,Sales Executive,3,Travel_Rarely,No,38642,17.3,1,30,17,3,6,1,4,3,4,3,4,2,35K-60K,46+,8+ yrs,No
451,25,Male,Married,3,Research & Development,Manager,2,Travel_Frequently,Yes,24309,17.0,3,5,5,3,5,0,3,4,2,4,4,2,<=35K,18-25,4-7 yrs,No
452,43,Male,Married,1,Research & Development,Research Director,4,Non-Travel,No,64761,16.9,0,22,18,4,1,7,3,4,4,2,3,2,>60K,36-45,8+ yrs,Yes
453,32,Male,Married,3,Research & Development,Manager,2,Travel_Rarely,No,40389,13.8,1,11,11,1,0,1,3,4,1,2,1,4,35K-60K,26-35,8+ yrs,No
454,39,Male,Married,4,Research & Development,Laboratory Technician,2,Travel_Rarely,No,32255,14.0,1,21,2,2,0,2,3,4,4,1,3,3,<=35K,36-45,0-3 yrs,No
455,39,Male,Married,4,Sales,Manager,1,Non-Travel,No,20509,12.5,0,18,0,0,0,0,3,4,1,4,2,3,<=35K,36-45,0-3 yrs,No
456,34,Male,Divorced,3,Research & Development,Research Director,2,Travel_Rarely,No,34877,18.0,1,15,4,1,4,3,3,4,3,2,2,3,<=35K,26-35,4-7 yrs,No
457,29,Female,Married,3,Sales,Manager,1,Travel_Rarely,No,26352,11.8,0,7,0,0,0,0,3,2,3,4,3,2,<=35K,26-35,0-3 yrs,No
458,30,Female,Married,1,Research & Development,Research Director,3,Travel_Rarely,Yes,29403,18.3,1,10,0,0,0,0,3,1,2,4,3,6,<=35K,26-35,0-3 yrs,Yes
459,28,Male,Married,4,Sales,Manager,1,Travel_Rarely,No,20337,16.0,1,10,1,1,0,1,3,3,1,1,3,0,<=35K,26-35,0-3 yrs,No
460,29,Male,Single,1,Sales,Manager,2,Travel_Rarely,No,37869,15.0,1,7,6,0,3,0,3,1,4,4,3,2,35K-60K,26-35,4-7 yrs,No
461,36,Male,Single,4,Sales,Manager,3,Travel_Rarely,No,34290,12.8,1,14,4,0,0,1,3,1,3,2,3,2,<=35K,36-45,4-7 yrs,Yes
462,30,Male,Divorced,3,Research & Development,Healthcare Representative,2,Travel_Rarely,No,22914,11.0,0,12,2,2,2,2,3,4,3,3,4,4,<=35K,26-35,0-3 yrs,No
463,43,Female,Married,3,Research & Development,Research Director,1,Travel_Rarely,No,10000,12.8,1,24,4,3,1,4,3,3,3,4,3,5,<=35K,36-45,4-7 yrs,No
464,50,Male,Married,4,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,10000,14.0,2,30,0,0,0,0,3,4,4,3,3,4,<=35K,46+,0-3 yrs,Yes
465,31,Female,Married,1,Human Resources,Human Resources Representative,3,Non-Travel,No,41146,11.0,2,13,8,2,1,0,4,3,1,4,3,2,35K-60K,26-35,8+ yrs,No
466,39,Male,Single,3,Research & Development,Laboratory Technician,1,Travel_Rarely,No,16940,14.5,1,17,7,1,1,1,3,3,4,3,4,5,<=35K,36-45,4-7 yrs,Yes
467,41,Female,Married,3,Sales,Sales Executive,2,Travel_Rarely,No,36925,18.6,0,19,1,0,1,1,3,1,2,4,3,1,35K-60K,36-45,0-3 yrs,No
468,41,Male,Married,2,Research & Development,Manager,2,Travel_Rarely,No,38650,17.3,3,23,5,4,2,3,3,4,1,4,2,3,35K-60K,36-45,4-7 yrs,No
469,37,Female,Married,3,Sales,Sales Representative,3,Travel_Rarely,Yes,38297,13.4,0,15,4,1,0,0,3,1,3,2,3,5,35K-60K,36-45,4-7 yrs,No
470,43,Male,Married,3,Human Resources,Manager,3,Travel_Rarely,No,38242,15.4,1,25,0,0,0,0,3,3,4,4,3,4,35K-60K,36-45,0-3 yrs,No
471,41,Female,Single,4,Sales,Sales Representative,3,Travel_Rarely,Yes,55526,13.1,0,23,1,0,1,1,3,1,1,4,2,2,35K-60K,36-45,0-3 yrs,No
472,25,Male,Single,1,Human Resources,Manager,1,Travel_Rarely,Yes,20173,15.8,3,5,5,1,1,4,3,2,3,3,3,3,<=35K,18-25,4-7 yrs,No
473,44,Male,Divorced,4,Sales,Manager,2,Travel_Rarely,No,30662,20.9,1,26,0,0,0,0,3,1,3,3,3,2,<=35K,36-45,0-3 yrs,No
474,44,Female,Married,2,Research & Development,Research Director,2,Travel_Rarely,No,33786,18.8,1,22,4,0,1,3,3,3,2,4,2,1,<=35K,36-45,4-7 yrs,Yes
475,29,Female,Married,2,Research & Development,Research Scientist,1,Travel_Rarely,No,14761,17.1,0,8,8,6,8,2,3,4,4,4,2,3,<=35K,26-35,8+ yrs,No
476,37,Female,Single,2,Human Resources,Human Resources Representative,2,Travel_Rarely,Yes,34196,13.4,1,17,2,0,0,2,3,3,3,1,4,2,<=35K,36-45,0-3 yrs,No
477,43,Female,Single,1,Sales,Sales Executive,2,Non-Travel,No,27311,18.0,1,21,1,0,1,1,3,3,4,3,3,1,<=35K,36-45,0-3 yrs,Yes
478,34,Female,Married,2,Research & Development,Research Scientist,2,Travel_Rarely,No,32150,11.0,1,12,12,8,3,1,3,4,3,4,3,3,<=35K,26-35,8+ yrs,No
479,46,Male,Married,5,Human Resources,Manager,3,Travel_Rarely,No,32915,14.3,0,26,2,2,0,2,3,4,2,2,3,3,<=35K,46+,0-3 yrs,Yes
480,58,Male,Married,3,Research & Development,Laboratory Technician,2,Travel_Rarely,No,24497,17.4,1,38,6,0,1,0,3,4,3,4,3,0,<=35K,46+,4-7 yrs,No
481,29,Male,Single,2,Research & Development,Healthcare Representative,3,Travel_Rarely,No,39583,17.9,0,7,7,7,7,6,3,3,3,3,3,0,35K-60K,26-35,4-7 yrs,No
482,24,Female,Married,1,Research & Development,Research Scientist,2,Travel_Rarely,No,27004,17.7,1,3,3,0,0,3,3,4,4,2,3,4,<=35K,18-25,0-3 yrs,No
483,39,Male,Single,4,Research & Development,Research Director,2,Travel_Rarely,No,22587,16.3,0,20,20,4,4,8,3,3,2,1,4,1,<=35K,36-45,8+ yrs,No
484,43,Male,Single,4,Research & Development,Research Director,2,Travel_Rarely,No,25731,14.5,0,21,9,0,6,0,4,1,3,4,3,3,<=35K,36-45,8+ yrs,No
485,34,Male,Married,2,Research & Development,Research Scientist,1,Travel_Rarely,Yes,10000,17.2,0,14,6,2,1,3,3,1,4,2,4,5,<=35K,26-35,4-7 yrs,No
486,50,Female,Single,1,Research & Development,Research Scientist,1,Non-Travel,No,19389,11.7,0,32,13,2,0,4,4,2,4,3,1,3,<=35K,46+,8+ yrs,No
487,24,Male,Single,2,Sales,Sales Executive,2,Travel_Rarely,Yes,29339,12.1,0,6,6,0,6,3,3,2,1,3,4,1,<=35K,18-25,4-7 yrs,Yes
488,43,Male,Married,1,Sales,Sales Representative,4,Travel_Rarely,Yes,46358,15.4,2,23,21,3,5,0,3,4,4,3,3,2,35K-60K,36-45,8+ yrs,No
489,31,Male,Married,1,Human Resources,Human Resources Representative,3,Travel_Rarely,Yes,38321,15.8,1,11,8,2,0,0,3,4,3,2,2,3,35K-60K,26-35,8+ yrs,No
490,52,Male,Divorced,3,Research & Development,Laboratory Technician,1,Travel_Rarely,No,17692,11.0,0,33,1,1,0,1,4,4,4,3,2,4,<=35K,46+,0-3 yrs,No
491,55,Male,Married,2,Research & Development,Laboratory Technician,4,Non-Travel,No,55655,16.9,1,35,7,6,3,1,4,3,2,4,3,3,35K-60K,46+,4-7 yrs,No
492,29,Female,Single,3,Research & Development,Manager,3,Travel_Rarely,No,39424,18.1,1,11,0,0,0,0,4,4,3,1,2,0,35K-60K,26-35,0-3 yrs,No
493,31,Female,Single,2,Sales,Manager,2,Non-Travel,No,29403,14.9,2,10,2,2,2,1,3,2,4,3,3,1,<=35K,26-35,0-3 yrs,No
494,44,Female,Divorced,4,Sales,Sales Representative,3,Travel_Rarely,Yes,47748,24.0,0,24,0,0,0,0,3,3,2,3,3,2,35K-60K,36-45,0-3 yrs,No
495,33,Male,Married,4,Research & Development,Manager,2,Travel_Rarely,No,18509,12.7,0,14,14,3,1,1,3,4,1,1,3,3,<=35K,26-35,8+ yrs,No
496,36,Female,Married,3,Research & Development,Manager,1,Travel_Rarely,Yes,19401,13.9,3,15,2,1,2,0,3,4,2,4,2,3,<=35K,36-45,0-3 yrs,No
497,37,Male,Single,3,Research & Development,Research Director,2,Non-Travel,No,23597,13.7,0,18,7,2,3,0,4,3,1,3,4,0,<=35K,36-45,4-7 yrs,No
498,19,Male,Married,3,Sales,Sales Representative,2,Travel_Rarely,No,29856,14.9,0,0,0,0,0,0,3,3,4,1,2,4,<=35K,18-25,0-3 yrs,Yes
499,36,Female,Single,3,Human Resources,Human Resources Representative,2,Travel_Rarely,Yes,29716,14.0,0,16,0,0,0,0,3,2,1,2,2,3,<=35K,36-45,0-3 yrs,No
500,30,Male,Married,4,Human Resources,Manager,2,Travel_Rarely,Yes,25783,11.0,0,12,4,2,2,2,3,4,2,3,3,4,<=35K,26-35,4-7 yrs,No
501,32,Male,Divorced,3,Research & Development,Research Scientist,4,Travel_Rarely,No,51810,13.2,3,11,6,0,0,4,3,4,4,1,4,2,35K-60K,26-35,4-7 yrs,No
502,50,Female,Divorced,4,Research & Development,Laboratory Technician,4,Travel_Rarely,No,57714,14.8,0,28,12,2,1,1,3,3,3,1,3,3,35K-60K,46+,8+ yrs,No
503,25,Male,Married,4,Research & Development,Research Scientist,4,Travel_Rarely,No,73002,19.7,2,6,0,0,0,0,3,1,2,1,3,2,>60K,18-25,0-3 yrs,No
504,44,Female,Married,3,Research & Development,Research Scientist,3,Travel_Rarely,No,34106,23.3,3,23,2,2,2,2,3,2,3,3,3,3,<=35K,36-45,0-3 yrs,Yes
505,34,Male,Divorced,3,Research & Development,Healthcare Representative,4,Travel_Rarely,No,73538,20.1,1,15,7,4,7,0,3,3,2,2,3,4,>60K,26-35,4-7 yrs,No
506,34,Female,Married,1,Sales,Sales Representative,1,Travel_Rarely,No,12922,12.3,0,16,0,0,0,0,4,3,1,4,1,3,<=35K,26-35,0-3 yrs,No
507,44,Male,Single,2,Human Resources,Manager,2,Travel_Rarely,Yes,30282,12.6,0,25,1,1,0,1,3,2,3,3,3,2,<=35K,36-45,0-3 yrs,Yes
508,39,Male,Married,3,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,21306,14.6,1,20,1,1,1,1,3,4,4,4,2,3,<=35K,36-45,0-3 yrs,Yes
509,42,Female,Single,2,Human Resources,Human Resources Representative,4,Travel_Rarely,No,53829,21.8,0,20,6,4,0,2,3,2,4,4,3,2,35K-60K,36-45,4-7 yrs,No
510,45,Male,Married,4,Research & Development,Laboratory Technician,2,Travel_Rarely,No,25976,14.6,1,26,2,0,0,2,3,1,4,3,3,4,<=35K,36-45,0-3 yrs,Yes
511,33,Male,Married,2,Research & Development,Research Director,3,Travel_Rarely,Yes,36634,11.0,0,12,5,1,0,5,3,4,4,4,1,0,35K-60K,26-35,4-7 yrs,No
512,31,Male,Married,3,Research & Development,Research Director,1,Non-Travel,Yes,13328,13.3,2,12,12,5,3,2,3,3,4,3,4,0,<=35K,26-35,8+ yrs,Yes
513,27,Male,Married,3,Human Resources,Human Resources Representative,1,Travel_Rarely,Yes,11743,18.0,1,7,7,4,0,0,3,4,4,3,3,1,<=35K,26-35,4-7 yrs,Yes
514,29,Male,Single,4,Research & Development,Research Director,3,Travel_Rarely,Yes,59806,17.8,1,10,2,2,1,2,3,2,4,3,2,2,35K-60K,26-35,0-3 yrs,Yes
515,60,Male,Married,3,Sales,Manager,1,Travel_Rarely,Yes,10000,14.5,2,40,3,3,0,0,3,1,4,4,3,0,<=35K,46+,0-3 yrs,No
516,48,Female,Divorced,4,Sales,Sales Representative,2,Travel_Rarely,No,30821,17.7,0,29,1,0,1,1,3,1,1,3,2,1,<=35K,46+,0-3 yrs,No
